,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,Away,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,Manchester City,Liverpool,Chelsea,Tottenham,Arsenal,West Ham,Manchester Utd,Wolves,Crystal Palace,Leicester City,Aston Villa,Southampton,Brighton,Brentford,Newcastle Utd,Leeds United,Everton,Fulham,Nott'ham Forest,Bournemouth
0,1,Manchester City,38,29,6,3,99,26,73,93,19,15,2,2,58,15,43,47,19,14,4,1,41,11,30,46,0,2–2,1–0,2–3,5–0,2–1,4–1,1–0,0–2,6–3,3–2,0–0,3–0,2–0,5–0,7–0,3–0,5–1,2–0,5–0
1,2,Liverpool,38,28,8,2,94,26,68,92,19,15,4,0,49,9,40,49,19,13,4,2,45,17,28,43,2–2,0,1–1,1–1,4–0,1–0,4–0,3–1,3–0,2–0,1–0,4–0,2–2,3–0,3–1,6–0,2–0,2–0,2–0,3–1
2,3,Chelsea,38,21,11,6,76,33,43,74,19,9,7,3,37,22,15,34,19,12,4,3,39,11,28,40,0–1,2–2,0,2–0,2–4,1–0,1–1,2–2,3–0,1–1,3–0,3–1,1–1,1–4,1–0,3–2,1–1,2–1,1–1,7–0
3,4,Tottenham,38,22,5,11,69,40,29,71,19,13,1,5,38,19,19,40,19,9,4,6,31,21,10,31,1–0,2–2,0–3,0,3–0,3–1,0–3,0–2,3–0,3–1,2–1,2–3,0–1,2–0,5–1,2–1,5–0,1–0,1–0,3–0
4,5,Arsenal,38,22,3,13,61,48,13,69,19,13,2,4,35,17,18,41,19,9,1,9,26,31,-5,28,1–2,0–2,0–2,3–1,0,2–0,3–1,2–1,2–2,2–0,3–1,3–0,1–2,2–1,2–0,2–1,5–1,1–0,0–0,1–0
5,6,Manchester Utd,38,16,10,12,57,57,0,58,19,10,5,4,32,22,10,35,19,6,5,8,25,35,-10,23,0–2,0–5,1–1,3–2,3–2,1–0,0,0–1,1–0,1–1,0–1,1–1,2–0,3–0,4–1,5–1,1–1,0–0,3–1,3–2
6,7,West Ham,38,16,8,14,60,51,9,56,19,9,5,5,33,26,7,32,19,7,3,9,27,25,2,24,2–2,3–2,3–2,1–0,1–2,0,1–2,1–0,2–2,4–1,2–1,2–3,1–1,1–2,1–1,2–3,2–1,1–0,1–1,2–0
7,8,Leicester City,38,14,10,14,62,59,3,52,19,10,4,5,34,23,11,34,19,4,6,9,28,36,-8,18,0–1,1–0,0–3,2–3,0–2,2–2,4–2,1–0,2–1,0,0–0,4–1,1–1,2–1,4–0,1–0,1–2,4–2,2–2,3–0
8,9,Brighton,38,12,15,11,42,44,-2,51,19,5,7,7,19,23,-4,22,19,7,8,4,23,21,2,29,1–4,0–2,1–1,0–2,0–0,3–1,4–0,0–1,1–1,2–1,0–2,2–2,0,2–0,1–1,0–0,0–2,2–0,0–3,0–0
9,10,Wolves,38,15,6,17,38,43,-5,51,19,7,3,9,20,25,-5,24,19,8,3,8,18,18,0,27,1–5,0–1,0–0,0–1,0–1,1–0,0–1,0,0–2,2–1,2–1,3–1,0–3,0–2,2–1,2–3,2–1,4–0,0–0,1–1
10,11,Newcastle Utd,38,13,10,15,44,62,-18,49,19,8,6,5,26,27,-1,30,19,5,4,10,18,35,-17,19,0–4,0–1,0–3,2–3,2–0,2–4,1–1,1–0,1–0,2–1,1–0,2–2,2–1,3–3,0,1–1,3–1,1–1,1–0,1–1
11,12,Crystal Palace,38,11,15,12,50,46,4,48,19,7,8,4,27,17,10,29,19,4,7,8,23,29,-6,19,0–0,1–3,0–1,3–0,3–0,2–3,1–0,2–0,0,2–2,1–2,2–2,1–1,0–0,1–1,0–0,3–1,1–0,1–1,3–0
12,13,Brentford,38,13,7,18,48,56,-8,46,19,7,3,9,22,21,1,24,19,6,4,9,26,35,-9,22,0–1,3–3,0–1,0–0,2–0,2–0,1–3,1–2,0–0,1–2,2–1,3–0,0–1,0,0–2,1–2,1–0,2–1,2–0,1–2
13,14,Aston Villa,38,13,6,19,52,54,-2,45,19,6,5,8,29,29,0,23,19,7,1,11,23,25,-2,22,1–2,1–2,1–3,0–4,0–1,1–4,2–2,2–3,1–1,2–1,0,4–0,2–0,1–1,2–0,3–3,3–0,0–1,1–1,2–0
14,15,Southampton,38,9,13,16,43,67,-24,40,19,6,7,6,23,24,-1,25,19,3,6,10,20,43,-23,15,1–1,1–2,0–6,1–1,1–0,0–0,1–1,0–1,1–2,2–2,1–0,0,1–1,4–1,1–2,1–0,2–0,1–2,2–2,2–0
15,16,Everton,38,11,6,21,43,66,-23,39,19,9,2,8,27,25,2,29,19,2,4,13,16,41,-25,10,0–1,1–4,1–0,0–0,2–1,0–1,1–0,0–1,3–2,1–1,0–1,3–1,2–3,2–3,1–0,3–0,0,2–5,3–1,2–0
16,17,Leeds United,38,9,11,18,42,79,-37,38,19,4,6,9,19,38,-19,18,19,5,5,9,23,41,-18,20,0–4,0–3,0–3,0–4,1–4,1–2,2–4,1–1,1–0,1–1,0–3,1–1,1–1,2–2,0–1,0,2–2,1–0,3–1,2–1
17,18,Nott'ham Forest,38,7,14,17,34,53,-19,35,19,5,6,8,18,25,-7,21,19,2,8,9,16,28,-12,14,0–2,0–1,0–4,1–0,0–1,0–0,1–1,1–0,3–3,0–2,1–3,2–0,1–2,3–1,1–2,1–1,3–2,0–0,0,0–0
18,19,Fulham,38,6,5,27,34,77,-43,23,19,2,2,15,17,46,-29,8,19,4,3,12,17,31,-14,15,1–3,0–5,1–2,0–1,2–3,1–4,4–1,0–2,1–4,1–5,3–2,0–1,0–2,1–2,1–1,0–3,0–0,0,1–2,0–3
19,20,Bournemouth,38,5,7,26,23,84,-61,22,19,3,3,13,12,43,-31,12,19,2,4,13,11,41,-30,10,0–4,0–3,1–3,0–5,0–5,0–4,0–1,0–0,1–1,1–2,0–2,2–1,0–0,1–3,0–3,1–2,2–1,1–3,2–0,0
